id,seq,delay
node-1-3979423338,0,445
node-1-3979423338,1,397
node-4-2608687216,0,372
node-4-2608687216,1,347
node-1-3979423338,2,417
node-4-2608687216,2,304
node-1-3979423338,3,368
node-1-3979423338,4,320
node-2-3585875010,0,387
node-2-3585875010,1,344
node-1-3979423338,5,288
node-4-2608687216,3,320
node-4-2608687216,4,276
node-1-3979423338,6,300
node-2-3585875010,2,379
node-2-3585875010,3,331
node-4-2608687216,5,253
node-1-3979423338,7,275
node-2-3585875010,4,295
node-1-3979423338,8,261
node-4-2608687216,6,252
node-2-3585875010,5,291
node-1-3979423338,9,224
node-4-2608687216,7,213
node-2-3585875010,6,249
node-2-3585875010,7,234
node-1-3979423338,10,218
node-4-2608687216,8,209
node-4-2608687216,9,196
node-1-3979423338,11,209
node-2-3585875010,8,234
node-1-3979423338,12,206
node-4-2608687216,10,203
node-2-3585875010,9,239
node-1-3979423338,13,209
node-2-3585875010,10,233
node-4-2608687216,11,207
node-2-3585875010,11,233
node-1-3979423338,14,212
node-4-2608687216,12,206
node-1-3979423338,15,211
node-4-2608687216,13,203
node-2-3585875010,12,236
node-1-3979423338,16,205
node-4-2608687216,14,200
node-2-3585875010,13,237
node-1-3979423338,17,203
node-2-3585875010,14,239
node-4-2608687216,15,207
node-2-3585875010,15,212
node-4-2608687216,16,207
node-1-3979423338,18,221
node-4-2608687216,17,198
node-1-3979423338,19,211
node-2-3585875010,16,237
node-2-3585875010,17,281
node-6-3312323574,0,327
node-4-2608687216,18,285
node-1-3979423338,20,296
node-2-3585875010,18,273
node-6-3312323574,1,274
node-4-2608687216,19,245
node-1-3979423338,21,255
node-6-3312323574,2,227
node-2-3585875010,19,234
node-8-2540150464,0,384
node-9-174983246,0,390
node-4-2608687216,20,371
node-1-3979423338,22,379
node-7-4281524148,0,496
node-6-3312323574,3,465
node-8-2540150464,1,449
node-2-3585875010,20,474
node-9-174983246,1,458
node-4-2608687216,21,440
node-1-3979423338,23,451
node-7-4281524148,1,453
node-6-3312323574,4,425
node-2-3585875010,21,432
node-8-2540150464,2,412
node-9-174983246,2,417
node-1-3979423338,24,411
node-4-2608687216,22,403
node-7-4281524148,2,414
node-6-3312323574,5,389
node-2-3585875010,22,394
node-9-174983246,3,376
node-8-2540150464,3,371
node-1-3979423338,25,370
node-4-2608687216,23,365
node-7-4281524148,3,363
node-6-3312323574,6,349
node-2-3585875010,23,357
node-8-2540150464,4,335
node-9-174983246,4,331
node-1-3979423338,26,334
node-4-2608687216,24,329
node-2-3585875010,24,314
node-6-3312323574,7,311
node-8-2540150464,5,286
node-4-2608687216,25,287
node-9-174983246,5,293
node-1-3979423338,27,295
node-7-4281524148,4,323
node-2-3585875010,25,291
node-7-4281524148,5,287
node-6-3312323574,8,285
node-9-174983246,6,262
node-4-2608687216,26,257
node-9-174983246,7,215
node-1-3979423338,28,267
node-2-3585875010,26,270
node-1-3979423338,29,252
node-4-2608687216,27,248
node-7-4281524148,6,277
node-9-174983246,8,214
node-4-2608687216,28,206
node-8-2540150464,6,305
node-8-2540150464,7,243
node-2-3585875010,27,255
node-7-4281524148,7,250
node-9-174983246,9,191
node-8-2540150464,8,225
node-2-3585875010,28,243
node-4-2608687216,29,206
node-7-4281524148,8,235
node-9-174983246,10,198
node-7-4281524148,9,219
node-4-2608687216,30,193
node-8-2540150464,9,231
node-2-3585875010,29,240
node-9-174983246,11,194
node-8-2540150464,10,222
node-2-3585875010,30,238
node-7-4281524148,10,233
node-4-2608687216,31,203
node-8-2540150464,11,221
node-9-174983246,12,210
node-7-4281524148,11,229
node-4-2608687216,32,200
node-9-174983246,13,196
node-8-2540150464,12,224
node-4-2608687216,33,197
node-7-4281524148,12,235
node-8-2540150464,13,221
node-9-174983246,14,213
node-4-2608687216,34,196
node-7-4281524148,13,237
node-8-2540150464,14,222
node-7-4281524148,14,239
node-8-2540150464,15,221
node-7-4281524148,15,234
node-8-2540150464,16,221
node-7-4281524148,16,218
node-6-3312323574,9,740
node-6-3312323574,10,688
node-1-3979423338,30,669
node-2-3585875010,31,489
node-6-3312323574,11,637
node-1-3979423338,31,618
node-2-3585875010,32,437
node-6-3312323574,12,586
node-1-3979423338,32,566
node-2-3585875010,33,385
node-6-3312323574,13,535
node-6-3312323574,14,483
node-6-3312323574,15,431
node-6-3312323574,16,379
node-6-3312323574,17,320
node-6-3312323574,18,268
node-6-3312323574,19,217
node-2-3585875010,34,332
node-1-3979423338,33,515
node-4-2608687216,35,287
node-9-174983246,15,306
node-1-3979423338,34,463
node-2-3585875010,35,280
node-9-174983246,16,255
node-1-3979423338,35,411
node-4-2608687216,36,235
node-2-3585875010,36,228
node-9-174983246,17,203
node-1-3979423338,36,360
node-1-3979423338,37,308
node-1-3979423338,38,252
node-1-3979423338,39,203
node-4-2608687216,37,195
node-6-3312323574,20,193
node-8-2540150464,17,224
node-9-174983246,18,199
node-7-4281524148,17,220
node-1-3979423338,40,198
node-2-3585875010,37,237
node-4-2608687216,38,192
node-6-3312323574,21,194
node-2-3585875010,38,214
node-8-2540150464,18,222
node-9-174983246,19,195
node-7-4281524148,18,218
node-1-3979423338,41,202
node-4-2608687216,39,193
node-6-3312323574,22,194
node-2-3585875010,39,211
node-9-174983246,20,196
node-8-2540150464,19,227
node-1-3979423338,42,197
node-4-2608687216,40,192
node-7-4281524148,19,234
node-6-3312323574,23,199
node-2-3585875010,40,214
node-9-174983246,21,194
node-8-2540150464,20,223
node-1-3979423338,43,196
node-4-2608687216,41,191
node-7-4281524148,20,234
node-6-3312323574,24,196
node-8-2540150464,21,220
node-9-174983246,22,194
node-1-3979423338,44,196
node-4-2608687216,42,193
node-2-3585875010,41,238
node-6-3312323574,25,195
node-7-4281524148,21,261
node-2-3585875010,42,214
node-9-174983246,23,195
node-8-2540150464,22,224
node-7-4281524148,22,215
node-1-3979423338,45,196
node-4-2608687216,43,193
node-6-3312323574,26,195
node-8-2540150464,23,220
node-9-174983246,24,195
node-1-3979423338,46,195
node-4-2608687216,44,192
node-2-3585875010,43,237
node-7-4281524148,23,234
node-6-3312323574,27,205
node-9-174983246,25,195
node-8-2540150464,24,227
node-1-3979423338,47,195
node-4-2608687216,45,191
node-2-3585875010,44,235
node-7-4281524148,24,234
node-6-3312323574,28,194
node-8-2540150464,25,221
node-9-174983246,26,194
node-7-4281524148,25,215
node-1-3979423338,48,196
node-4-2608687216,46,192
node-2-3585875010,45,235
node-8-2540150464,26,222
node-6-3312323574,29,214
node-9-174983246,27,195
node-1-3979423338,49,194
node-2-3585875010,46,248
node-7-4281524148,26,245
node-6-3312323574,30,194
node-9-174983246,28,193
node-8-2540150464,27,225
node-7-4281524148,27,217
node-1-3979423338,50,195
node-2-3585875010,47,235
node-6-3312323574,31,194
node-4-2608687216,47,264
node-4-2608687216,48,212
node-9-174983246,29,193
node-8-2540150464,28,222
node-2-3585875010,48,235
node-7-4281524148,28,236
node-1-3979423338,51,197
node-4-2608687216,49,201
node-6-3312323574,32,196
