id,seq,delay
node-4-1849195432,0,335
node-3-4002797271,0,422
node-2-1676903830,0,458
node-6-168618345,0,18
node-9-4005535972,0,275
node-7-3263659311,0,341
node-4-1849195432,1,321
node-3-4002797271,1,329
node-2-1676903830,1,296
node-8-2473319547,0,491
node-6-168618345,1,15
node-11-2649724282,0,24
node-9-4005535972,1,162
node-14-3145555963,0,291
node-12-809233812,0,301
node-7-3263659311,1,293
node-8-2473319547,1,342
node-4-1849195432,2,334
node-2-1676903830,2,307
node-3-4002797271,2,351
node-13-4119891909,0,483
node-6-168618345,2,11
node-11-2649724282,1,10
node-16-402292848,0,25
node-9-4005535972,2,163
node-14-3145555963,1,168
node-12-809233812,1,174
node-7-3263659311,2,221
node-19-2480175360,0,294
node-17-3830747636,0,313
node-8-2473319547,2,347
node-13-4119891909,1,336
node-4-1849195432,3,341
node-2-1676903830,3,301
node-3-4002797271,3,369
node-18-2645818131,0,473
node-6-168618345,3,13
node-11-2649724282,2,14
node-16-402292848,1,144
node-9-4005535972,3,161
node-14-3145555963,2,160
node-19-2480175360,1,161
node-12-809233812,2,169
node-17-3830747636,1,182
node-7-3263659311,3,186
node-8-2473319547,3,233
node-13-4119891909,2,237
node-18-2645818131,1,233
node-4-1849195432,4,163
node-2-1676903830,4,169
node-3-4002797271,4,232
node-6-168618345,4,12
node-11-2649724282,3,13
node-16-402292848,2,212
node-9-4005535972,4,160
node-14-3145555963,3,159
node-19-2480175360,2,161
node-12-809233812,3,168
node-17-3830747636,2,177
node-7-3263659311,4,231
node-8-2473319547,4,233
node-13-4119891909,3,236
node-18-2645818131,2,233
node-4-1849195432,5,160
node-2-1676903830,5,172
node-3-4002797271,5,231
node-11-2649724282,4,12
node-6-168618345,5,16
node-9-4005535972,5,160
node-14-3145555963,4,159
node-19-2480175360,3,162
node-12-809233812,4,168
node-16-402292848,3,308
node-7-3263659311,5,177
node-17-3830747636,3,178
node-8-2473319547,5,232
node-13-4119891909,4,234
node-18-2645818131,3,247
node-4-1849195432,6,166
node-3-4002797271,6,231
node-2-1676903830,6,283
node-6-168618345,6,13
node-11-2649724282,5,12
node-16-402292848,4,137
node-9-4005535972,6,160
node-14-3145555963,5,160
node-19-2480175360,4,162
node-12-809233812,5,169
node-7-3263659311,6,179
node-17-3830747636,4,179
node-8-2473319547,6,233
node-13-4119891909,5,234
node-4-1849195432,7,162
node-18-2645818131,4,248
node-2-1676903830,7,176
node-3-4002797271,7,233
node-6-168618345,7,13
node-11-2649724282,6,13
node-9-4005535972,7,160
node-14-3145555963,6,161
node-16-402292848,5,287
node-19-2480175360,5,164
node-12-809233812,6,170
node-7-3263659311,7,177
node-17-3830747636,5,183
node-8-2473319547,7,233
node-13-4119891909,6,232
node-18-2645818131,5,233
node-4-1849195432,8,162
node-2-1676903830,8,172
node-3-4002797271,8,233
node-6-168618345,8,14
node-11-2649724282,7,13
node-16-402292848,6,173
node-9-4005535972,8,160
node-14-3145555963,7,159
node-19-2480175360,6,161
node-12-809233812,7,168
node-17-3830747636,6,177
node-7-3263659311,8,181
node-8-2473319547,8,233
node-13-4119891909,7,232
node-18-2645818131,6,232
node-4-1849195432,9,161
node-2-1676903830,9,168
node-3-4002797271,9,234
node-6-168618345,9,11
node-11-2649724282,8,12
node-16-402292848,7,212
node-9-4005535972,9,164
node-14-3145555963,8,160
node-12-809233812,8,170
node-19-2480175360,7,164
node-17-3830747636,7,174
node-7-3263659311,9,179
node-8-2473319547,9,233
node-13-4119891909,8,236
node-18-2645818131,7,232
node-4-1849195432,10,159
node-2-1676903830,10,171
node-3-4002797271,10,230
node-6-168618345,10,29
node-11-2649724282,9,28
node-16-402292848,8,27
node-9-4005535972,10,159
node-14-3145555963,9,159
node-19-2480175360,8,163
node-12-809233812,9,171
node-17-3830747636,8,172
node-7-3263659311,10,177
node-8-2473319547,10,234
node-13-4119891909,9,236
node-18-2645818131,8,231
node-4-1849195432,11,159
node-2-1676903830,11,171
node-3-4002797271,11,231
node-6-168618345,11,13
node-11-2649724282,10,12
node-16-402292848,9,249
node-9-4005535972,11,159
node-14-3145555963,10,159
node-12-809233812,10,169
node-19-2480175360,9,163
node-7-3263659311,11,174
node-17-3830747636,9,174
node-8-2473319547,11,235
node-13-4119891909,10,234
node-18-2645818131,9,231
node-4-1849195432,12,161
node-2-1676903830,12,173
node-3-4002797271,12,232
node-6-168618345,12,12
node-11-2649724282,11,12
node-16-402292848,10,213
node-9-4005535972,12,162
node-14-3145555963,11,159
node-12-809233812,11,168
node-19-2480175360,10,162
node-7-3263659311,12,173
node-17-3830747636,10,175
node-8-2473319547,12,234
node-13-4119891909,11,232
node-18-2645818131,10,231
node-4-1849195432,13,160
node-2-1676903830,13,173
node-3-4002797271,13,231
node-6-168618345,13,14
node-11-2649724282,12,17
node-16-402292848,11,10
node-9-4005535972,13,161
node-14-3145555963,12,159
node-12-809233812,12,167
node-19-2480175360,11,164
node-17-3830747636,11,177
node-7-3263659311,13,181
node-8-2473319547,13,235
node-13-4119891909,12,235
node-18-2645818131,11,232
node-4-1849195432,14,161
node-2-1676903830,14,168
node-3-4002797271,14,232
node-6-168618345,14,13
node-11-2649724282,13,14
node-16-402292848,12,10
node-9-4005535972,14,159
node-14-3145555963,13,159
node-12-809233812,13,170
node-19-2480175360,12,168
node-7-3263659311,14,178
node-17-3830747636,12,181
node-8-2473319547,14,232
node-13-4119891909,13,232
node-18-2645818131,12,234
node-4-1849195432,15,164
node-2-1676903830,15,170
