id,seq,delay
4,0,285.2173913043478
4,1,251.30434782608697
4,2,207.82608695652175
2,0,275.2066115702479
2,1,235.53719008264463
4,3,275.6521739130435
4,4,238.2608695652174
4,5,194.7826086956522
2,2,300.8264462809918
2,3,258.6776859504132
2,4,223.1404958677686
2,5,197.5206611570248
2,6,161.15702479338842
4,6,191.30434782608697
3,0,190.98039215686276
3,1,169.80392156862746
3,2,152.94117647058823
4,7,165.2173913043478
3,3,132.94117647058823
2,7,146.28099173553719
3,4,115.68627450980394
3,5,102.74509803921568
4,8,158.26086956521738
2,8,144.62809917355372
3,6,100.0
4,9,155.65217391304347
2,9,147.10743801652893
3,7,99.6078431372549
4,10,162.6086956521739
2,10,145.45454545454547
3,8,98.82352941176471
4,11,153.91304347826087
2,11,145.45454545454547
3,9,98.4313725490196
4,12,173.04347826086956
2,12,152.06611570247935
3,10,99.6078431372549
4,13,158.26086956521738
2,13,146.28099173553719
3,11,100.0
4,14,156.52173913043478
2,14,145.45454545454547
3,12,98.4313725490196
4,15,166.08695652173913
3,13,97.6470588235294
2,15,150.4132231404959
4,16,158.26086956521738
2,16,147.93388429752065
3,14,105.09803921568628
4,17,155.65217391304347
2,17,145.45454545454547
3,15,100.0
4,18,154.78260869565216
2,18,144.62809917355372
3,16,99.2156862745098
4,19,162.6086956521739
2,19,142.1487603305785
3,17,100.0
4,20,153.91304347826087
2,20,144.62809917355372
3,18,99.6078431372549
4,21,152.17391304347828
2,21,143.801652892562
3,19,99.2156862745098
4,22,161.7391304347826
2,22,142.97520661157023
3,20,98.82352941176471
4,23,160.0
2,23,145.45454545454547
3,21,98.4313725490196
4,24,159.1304347826087
2,24,143.801652892562
3,22,98.0392156862745
4,25,159.1304347826087
2,25,142.1487603305785
3,23,98.0392156862745
4,26,150.43478260869566
2,26,143.801652892562
3,24,99.6078431372549
4,27,153.04347826086956
2,27,144.62809917355372
3,25,99.2156862745098
4,28,152.17391304347828
2,28,143.801652892562
3,26,98.82352941176471
4,29,160.8695652173913
2,29,142.97520661157023
3,27,98.0392156862745
4,30,159.1304347826087
2,30,142.97520661157023
3,28,98.82352941176471
4,31,152.17391304347828
2,31,143.801652892562
3,29,98.0392156862745
4,32,150.43478260869566
2,32,142.1487603305785
3,30,97.6470588235294
4,33,159.1304347826087
2,33,142.1487603305785
3,31,98.82352941176471
4,34,150.43478260869566
2,34,142.97520661157023
3,32,97.6470588235294
4,35,150.43478260869566
2,35,142.97520661157023
3,33,98.0392156862745
4,36,148.69565217391306
2,36,144.62809917355372
3,34,98.4313725490196
4,37,152.17391304347828
2,37,142.97520661157023
3,35,98.4313725490196
4,38,160.0
2,38,144.62809917355372
3,36,100.0
4,39,154.78260869565216
2,39,147.93388429752065
3,37,99.2156862745098
4,40,153.04347826086956
2,40,146.28099173553719
3,38,98.82352941176471
4,41,160.0
2,41,145.45454545454547
3,39,98.0392156862745
4,42,160.0
2,42,142.97520661157023
3,40,98.4313725490196
4,43,159.1304347826087
2,43,142.97520661157023
3,41,98.4313725490196
4,44,160.0
2,44,143.801652892562
3,42,98.0392156862745
4,45,172.17391304347828
2,45,150.4132231404959
3,43,98.0392156862745
4,46,148.69565217391306
2,46,145.45454545454547
3,44,97.6470588235294
4,47,158.26086956521738
2,47,156.198347107438
3,45,97.6470588235294
4,48,156.52173913043478
2,48,142.1487603305785
3,46,96.86274509803921
4,49,155.65217391304347
2,49,143.801652892562
3,47,96.86274509803921
4,50,154.78260869565216
2,50,147.10743801652893
3,48,96.47058823529412
4,51,161.7391304347826
2,51,142.97520661157023
3,49,100.0
4,52,161.7391304347826
2,52,142.97520661157023
3,50,96.86274509803921
4,53,154.78260869565216
2,53,144.62809917355372
3,51,100.0
4,54,153.91304347826087
2,54,142.97520661157023
3,52,99.2156862745098
4,55,160.8695652173913
2,55,144.62809917355372
3,53,99.2156862745098
4,56,160.0
2,56,143.801652892562
3,54,98.82352941176471
4,57,160.8695652173913
2,57,143.801652892562
3,55,98.4313725490196
4,58,159.1304347826087
2,58,144.62809917355372
3,56,100.7843137254902
4,59,158.26086956521738
2,59,146.28099173553719
3,57,98.0392156862745
4,60,159.1304347826087
2,60,145.45454545454547
3,58,100.7843137254902
4,61,157.3913043478261
2,61,145.45454545454547
3,59,100.7843137254902
4,62,156.52173913043478
2,62,143.801652892562
3,60,97.25490196078431
4,63,155.65217391304347
2,63,144.62809917355372
3,61,97.25490196078431
4,64,146.95652173913044
2,64,142.97520661157023
3,62,97.25490196078431
4,65,151.30434782608694
2,65,143.801652892562
3,63,100.0
4,66,160.8695652173913
2,66,142.1487603305785
3,64,98.4313725490196
4,67,151.30434782608694
2,67,142.1487603305785
3,65,98.82352941176471
4,68,150.43478260869566
2,68,147.10743801652893
3,66,98.4313725490196
4,69,159.1304347826087
2,69,142.97520661157023
3,67,98.0392156862745
4,70,159.1304347826087
2,70,146.28099173553719
3,68,100.7843137254902
4,71,158.26086956521738
2,71,144.62809917355372
3,69,97.25490196078431
4,72,157.3913043478261
2,72,144.62809917355372
3,70,97.25490196078431
4,73,156.52173913043478
2,73,142.97520661157023
3,71,100.3921568627451
4,74,155.65217391304347
2,74,142.1487603305785
3,72,96.07843137254902
4,75,155.65217391304347
2,75,143.801652892562
3,73,99.6078431372549
4,76,154.78260869565216
2,76,145.45454545454547
3,74,100.3921568627451
4,77,157.3913043478261
2,77,142.97520661157023
3,75,96.47058823529412
4,78,156.52173913043478
2,78,142.97520661157023
3,76,98.0392156862745
4,79,151.30434782608694
2,79,142.1487603305785
3,77,98.0392156862745
4,80,158.26086956521738
2,80,144.62809917355372
3,78,99.2156862745098
4,81,153.91304347826087
2,81,142.1487603305785
3,79,99.2156862745098
4,82,150.43478260869566
2,82,142.97520661157023
3,80,97.6470588235294
4,83,158.26086956521738
2,83,142.97520661157023
3,81,99.2156862745098
4,84,157.3913043478261
2,84,144.62809917355372
3,82,98.0392156862745
4,85,149.56521739130434
2,85,146.28099173553719
3,83,97.6470588235294
4,86,158.26086956521738
2,86,142.97520661157023
3,84,97.25490196078431
4,87,158.26086956521738
2,87,143.801652892562
3,85,96.86274509803921
4,88,156.52173913043478
2,88,142.1487603305785
3,86,96.47058823529412
4,89,156.52173913043478
2,89,143.801652892562
3,87,99.6078431372549
4,90,155.65217391304347
2,90,144.62809917355372
3,88,99.6078431372549
4,91,154.78260869565216
2,91,143.801652892562
3,89,100.0
4,92,153.04347826086956
2,92,144.62809917355372
3,90,98.4313725490196
4,93,152.17391304347828
2,93,145.45454545454547
3,91,98.4313725490196
4,94,160.0
2,94,142.1487603305785
3,92,97.6470588235294
4,95,159.1304347826087
2,95,146.28099173553719
3,93,97.6470588235294
4,96,158.26086956521738
2,96,142.1487603305785
3,94,97.25490196078431
4,97,157.3913043478261
2,97,142.97520661157023
3,95,96.86274509803921
4,98,156.52173913043478
2,98,142.1487603305785
3,96,101.96078431372548
4,99,154.78260869565216
2,99,144.62809917355372
3,97,100.3921568627451
4,100,149.56521739130434
2,100,142.97520661157023
3,98,100.3921568627451
4,101,149.56521739130434
2,101,142.1487603305785
3,99,99.6078431372549
4,102,155.65217391304347
2,102,142.1487603305785
3,100,99.2156862745098
4,103,154.78260869565216
2,103,144.62809917355372
3,101,99.6078431372549
4,104,153.91304347826087
2,104,144.62809917355372
3,102,98.0392156862745
4,105,152.17391304347828
2,105,142.1487603305785
3,103,98.4313725490196
4,106,160.8695652173913
2,106,144.62809917355372
3,104,98.0392156862745
4,107,160.0
2,107,142.97520661157023
3,105,97.6470588235294
4,108,158.26086956521738
2,108,143.801652892562
3,106,99.6078431372549
4,109,154.78260869565216
2,109,142.97520661157023
3,107,99.6078431372549
4,110,162.6086956521739
2,110,145.45454545454547
3,108,99.6078431372549
4,111,153.91304347826087
2,111,142.97520661157023
3,109,99.6078431372549
4,112,161.7391304347826
2,112,142.97520661157023
3,110,96.86274509803921
4,113,155.65217391304347
2,113,142.1487603305785
3,111,98.0392156862745
4,114,154.78260869565216
2,114,142.1487603305785
3,112,100.3921568627451
4,115,161.7391304347826
2,115,142.97520661157023
3,113,97.6470588235294
4,116,162.6086956521739
2,116,142.97520661157023
3,114,101.17647058823529
4,117,153.04347826086956
2,117,145.45454545454547
3,115,99.6078431372549
4,118,160.8695652173913
2,118,142.97520661157023
3,116,99.2156862745098
4,119,153.04347826086956
2,119,142.1487603305785
3,117,99.2156862745098
4,120,159.1304347826087
2,120,141.32231404958677
3,118,98.4313725490196
4,121,158.26086956521738
2,121,142.97520661157023
3,119,98.0392156862745
4,122,158.26086956521738
2,122,156.198347107438
3,120,99.2156862745098
4,123,157.3913043478261
2,123,144.62809917355372
3,121,96.47058823529412
4,124,151.30434782608694
2,124,142.97520661157023
3,122,96.07843137254902
4,125,157.3913043478261
2,125,142.97520661157023
4,126,140.0
3,123,96.47058823529412
2,126,143.801652892562
4,127,140.0
3,124,96.07843137254902
2,127,143.801652892562
4,128,141.73913043478262
