id,seq,delay
node-4-998137338,0,345
node-2-2657443820,0,436
node-1-1474046262,0,781
node-1-1474046262,1,275
node-4-998137338,1,201
node-2-2657443820,1,237
node-6-1373062219,0,326
node-8-3903719805,0,381
node-9-3821466714,0,390
node-7-193465155,0,468
node-1-1474046262,2,449
node-4-998137338,2,342
node-2-2657443820,2,353
node-6-1373062219,1,197
node-9-3821466714,1,195
node-1-1474046262,3,209
node-8-3903719805,1,225
node-7-193465155,1,237
node-4-998137338,3,195
node-2-2657443820,3,234
node-6-1373062219,2,220
node-11-2092606478,0,334
node-14-1042775502,0,314
node-9-3821466714,2,298
node-8-3903719805,2,326
node-13-2043759564,0,479
node-12-851614152,0,496
node-7-193465155,2,490
node-1-1474046262,4,472
node-4-998137338,4,363
node-2-2657443820,4,377
node-6-1373062219,3,207
node-11-2092606478,1,212
node-14-1042775502,1,199
node-9-3821466714,3,193
node-7-193465155,3,212
node-1-1474046262,5,206
node-12-851614152,1,235
node-8-3903719805,3,227
node-13-2043759564,1,231
node-4-998137338,5,194
node-2-2657443820,5,235
node-6-1373062219,4,209
node-11-2092606478,2,210
node-16-4111862992,0,323
node-14-1042775502,2,312
node-19-2024822620,0,333
node-9-3821466714,4,302
node-8-3903719805,4,330
node-13-2043759564,2,332
node-7-193465155,4,418
node-12-851614152,2,427
node-17-54475914,0,488
node-1-1474046262,6,465
node-4-998137338,6,362
node-18-3777128211,0,494
node-2-2657443820,6,344
node-6-1373062219,5,208
node-11-2092606478,3,206
node-19-2024822620,1,195
node-14-1042775502,3,194
node-9-3821466714,5,196
node-17-54475914,1,210
node-1-1474046262,7,204
node-12-851614152,3,233
node-8-3903719805,5,224
node-18-3777128211,1,229
node-7-193465155,5,238
node-13-2043759564,3,231
node-16-4111862992,1,400
node-4-998137338,7,198
node-2-2657443820,7,232
node-11-2092606478,4,203
node-16-4111862992,2,204
node-19-2024822620,2,196
node-14-1042775502,4,195
node-9-3821466714,6,196
node-1-1474046262,8,201
node-12-851614152,4,232
node-8-3903719805,6,224
node-18-3777128211,2,225
node-17-54475914,2,242
node-13-2043759564,4,232
node-7-193465155,6,243
node-6-1373062219,6,404
node-4-998137338,8,197
node-2-2657443820,8,233
node-6-1373062219,7,202
node-11-2092606478,5,206
node-16-4111862992,3,204
node-19-2024822620,3,195
node-14-1042775502,5,196
node-9-3821466714,7,195
node-1-1474046262,9,197
node-7-193465155,7,225
