id,seq,delay
node-4-998137338,0,314
node-2-2657443820,0,340
node-3-1752287349,0,543
node-4-998137338,1,183
node-2-2657443820,1,173
node-6-1373062219,0,21
node-3-1752287349,1,248
node-9-3821466714,0,296
node-7-193465155,0,308
node-6-1373062219,1,11
node-8-3903719805,0,389
node-4-998137338,2,278
node-2-2657443820,2,263
node-3-1752287349,2,321
node-9-3821466714,1,170
node-7-193465155,1,174
node-8-3903719805,1,238
node-4-998137338,3,165
node-2-2657443820,3,167
node-6-1373062219,2,9
node-3-1752287349,3,243
node-11-2092606478,0,35
node-9-3821466714,2,250
node-7-193465155,2,273
node-14-1042775502,0,291
node-12-851614152,0,287
node-8-3903719805,2,335
node-6-1373062219,3,23
node-11-2092606478,1,24
node-4-998137338,4,326
node-2-2657443820,4,312
node-13-2043759564,0,493
node-3-1752287349,4,375
node-14-1042775502,1,170
node-12-851614152,1,166
node-9-3821466714,3,165
node-7-193465155,3,172
node-8-3903719805,3,240
node-13-2043759564,1,248
node-4-998137338,5,169
node-2-2657443820,5,166
node-6-1373062219,4,8
node-11-2092606478,2,11
node-3-1752287349,5,239
node-16-4111862992,0,26
node-14-1042775502,2,273
node-19-2024822620,0,309
node-7-193465155,4,285
node-12-851614152,2,297
node-9-3821466714,4,299
node-17-54475914,0,342
node-8-3903719805,4,347
node-13-2043759564,2,347
node-6-1373062219,5,13
node-11-2092606478,3,12
node-2-2657443820,6,302
node-4-998137338,6,329
node-3-1752287349,6,367
node-18-3777128211,0,510
node-16-4111862992,1,202
node-19-2024822620,1,171
node-14-1042775502,3,167
node-12-851614152,3,165
node-9-3821466714,5,163
node-17-54475914,1,171
node-7-193465155,5,174
node-8-3903719805,5,239
node-18-3777128211,1,240
node-13-2043759564,3,246
node-4-998137338,7,168
node-2-2657443820,7,165
node-11-2092606478,4,10
node-16-4111862992,2,11
node-3-1752287349,7,244
node-6-1373062219,6,207
node-19-2024822620,2,162
node-14-1042775502,4,166
node-12-851614152,4,165
node-9-3821466714,6,163
node-17-54475914,2,172
node-7-193465155,6,177
node-8-3903719805,6,237
node-18-3777128211,2,239
node-13-2043759564,4,244
node-4-998137338,8,171
