id,seq,delay
node-1-3125965970,0,538
node-1-3125965970,1,444
node-1-3125965970,2,345
node-1-3125965970,3,372
node-3-2738326704,0,508
node-3-2738326704,1,407
node-1-3125965970,4,359
node-1-3125965970,5,309
node-1-3125965970,6,208
node-2-3237657931,0,470
node-2-3237657931,1,367
node-2-3237657931,2,280
node-2-3237657931,3,185
node-3-2738326704,2,401
node-3-2738326704,3,300
node-1-3125965970,7,185
node-3-2738326704,4,246
node-2-3237657931,4,206
node-1-3125965970,8,185
node-3-2738326704,5,244
node-2-3237657931,5,226
node-3-2738326704,6,244
node-6-3598508864,0,298
node-1-3125965970,9,287
node-6-3598508864,1,205
node-3-2738326704,7,257
node-9-601472828,0,295
node-1-3125965970,10,289
node-7-374787176,0,355
node-9-601472828,1,382
node-6-3598508864,2,401
node-1-3125965970,11,384
node-9-601472828,2,299
node-6-3598508864,3,319
node-1-3125965970,12,301
node-8-1599543230,0,491
node-9-601472828,3,209
node-6-3598508864,4,227
node-1-3125965970,13,213
node-7-374787176,1,406
node-3-2738326704,8,480
node-3-2738326704,9,389
node-7-374787176,2,305
node-3-2738326704,10,297
node-8-1599543230,1,427
node-8-1599543230,2,327
node-7-374787176,3,232
node-6-3598508864,5,180
node-8-1599543230,3,248
node-9-601472828,4,170
node-3-2738326704,11,235
node-1-3125965970,14,184
node-2-3237657931,6,679
node-7-374787176,4,204
node-8-1599543230,4,233
node-6-3598508864,6,172
node-3-2738326704,12,239
node-1-3125965970,15,183
node-9-601472828,5,171
node-6-3598508864,7,173
node-8-1599543230,5,237
node-9-601472828,6,159
node-3-2738326704,13,231
node-1-3125965970,16,177
node-7-374787176,5,245
node-7-374787176,6,208
node-8-1599543230,6,229
node-6-3598508864,8,186
node-3-2738326704,14,230
node-9-601472828,7,161
node-1-3125965970,17,187
node-2-3237657931,7,862
node-2-3237657931,8,760
node-2-3237657931,9,659
node-2-3237657931,10,557
node-2-3237657931,11,455
node-2-3237657931,12,350
node-2-3237657931,13,248
node-7-374787176,7,205
node-8-1599543230,7,229
node-6-3598508864,9,172
node-2-3237657931,14,209
node-3-2738326704,15,229
node-9-601472828,8,160
node-1-3125965970,18,176
node-2-3237657931,15,176
node-8-1599543230,8,230
node-7-374787176,8,214
node-3-2738326704,16,258
node-9-601472828,9,192
node-7-374787176,9,195
node-2-3237657931,16,192
node-11-3373195018,0,303
node-6-3598508864,10,281
node-1-3125965970,19,272
node-8-1599543230,9,261
node-3-2738326704,17,258
node-14-709706512,0,291
node-6-3598508864,11,284
node-1-3125965970,20,283
node-9-601472828,10,376
node-11-3373195018,1,394
node-2-3237657931,17,376
node-7-374787176,10,384
node-12-1358511308,0,444
node-9-601472828,11,342
node-14-709706512,1,380
node-6-3598508864,12,371
node-9-601472828,12,251
node-1-3125965970,21,372
node-11-3373195018,2,374
node-6-3598508864,13,284
node-1-3125965970,22,277
node-11-3373195018,3,277
node-13-770680385,0,478
node-14-709706512,2,300
node-6-3598508864,14,195
node-1-3125965970,23,192
node-11-3373195018,4,191
node-9-601472828,13,184
node-8-1599543230,10,479
node-14-709706512,3,214
node-7-374787176,11,363
node-2-3237657931,18,357
node-3-2738326704,18,468
node-13-770680385,1,394
node-8-1599543230,11,394
node-3-2738326704,19,375
node-12-1358511308,1,427
node-13-770680385,2,303
node-8-1599543230,12,303
node-7-374787176,12,283
node-3-2738326704,20,285
node-2-3237657931,19,284
node-14-709706512,4,157
node-12-1358511308,2,336
node-7-374787176,13,216
node-13-770680385,3,241
node-8-1599543230,13,243
node-9-601472828,14,163
node-2-3237657931,20,225
node-12-1358511308,3,230
node-6-3598508864,15,192
node-11-3373195018,5,191
node-3-2738326704,21,253
node-1-3125965970,24,188
node-14-709706512,5,157
node-13-770680385,4,232
node-8-1599543230,14,233
node-2-3237657931,21,212
node-9-601472828,15,162
node-3-2738326704,22,233
node-6-3598508864,16,190
node-11-3373195018,6,188
node-7-374787176,14,250
node-12-1358511308,4,244
node-1-3125965970,25,185
node-7-374787176,15,190
node-14-709706512,6,158
node-13-770680385,5,230
node-8-1599543230,15,229
node-12-1358511308,5,206
node-2-3237657931,22,216
node-9-601472828,16,162
node-3-2738326704,23,231
node-11-3373195018,7,185
node-6-3598508864,17,190
node-1-3125965970,26,177
node-2-3237657931,23,177
node-14-709706512,7,159
node-7-374787176,16,209
node-13-770680385,6,231
node-8-1599543230,16,231
node-12-1358511308,6,204
node-9-601472828,17,162
node-3-2738326704,24,234
node-11-3373195018,8,180
node-6-3598508864,18,181
node-1-3125965970,27,177
node-14-709706512,8,159
node-2-3237657931,24,199
node-12-1358511308,7,199
node-7-374787176,17,208
node-13-770680385,7,233
node-8-1599543230,17,232
node-9-601472828,18,159
node-3-2738326704,25,238
node-6-3598508864,19,187
node-11-3373195018,9,186
node-1-3125965970,28,179
node-2-3237657931,25,178
node-14-709706512,9,160
node-7-374787176,18,205
node-12-1358511308,8,203
node-13-770680385,8,236
node-8-1599543230,18,235
node-9-601472828,19,160
node-3-2738326704,26,230
node-11-3373195018,10,184
node-6-3598508864,20,191
node-1-3125965970,29,176
node-2-3237657931,26,179
node-12-1358511308,9,185
node-14-709706512,10,160
node-7-374787176,19,205
node-8-1599543230,19,231
node-13-770680385,9,241
node-9-601472828,20,161
node-6-3598508864,21,174
node-11-3373195018,11,182
node-3-2738326704,27,233
node-1-3125965970,30,186
node-12-1358511308,10,191
node-14-709706512,11,158
node-7-374787176,20,204
node-13-770680385,10,229
node-8-1599543230,20,228
node-2-3237657931,27,204
node-9-601472828,21,181
