id,seq,delay
node-1-1533898462,0,471
node-4-1194103941,0,348
node-1-1533898462,1,294
node-2-1487154666,0,603
node-4-1194103941,1,208
node-2-1487154666,1,236
node-1-1533898462,2,197
node-6-815023282,0,309
node-4-1194103941,2,198
node-9-663381368,0,311
node-7-3637171069,0,502
node-8-3058863121,0,495
node-2-1487154666,2,464
node-1-1533898462,3,199
node-6-815023282,1,196
node-9-663381368,1,195
node-4-1194103941,3,195
node-7-3637171069,1,233
node-8-3058863121,1,223
node-2-1487154666,3,236
node-1-1533898462,4,197
node-6-815023282,2,197
node-9-663381368,2,195
node-4-1194103941,4,195
node-7-3637171069,2,233
node-8-3058863121,2,226
node-2-1487154666,4,234
node-1-1533898462,5,195
node-6-815023282,3,195
node-9-663381368,3,195
node-4-1194103941,5,193
node-7-3637171069,3,235
node-8-3058863121,3,225
node-2-1487154666,5,234
node-1-1533898462,6,196
node-6-815023282,4,195
node-9-663381368,4,195
node-4-1194103941,6,194
node-7-3637171069,4,233
node-8-3058863121,4,224
node-2-1487154666,6,235
node-1-1533898462,7,195
node-6-815023282,5,196
node-9-663381368,5,195
node-4-1194103941,7,196
node-7-3637171069,5,234
node-8-3058863121,5,225
node-2-1487154666,7,235
node-1-1533898462,8,196
node-6-815023282,6,195
node-9-663381368,6,195
node-4-1194103941,8,194
node-7-3637171069,6,234
node-8-3058863121,6,224
node-2-1487154666,8,235
node-1-1533898462,9,197
node-6-815023282,7,195
node-9-663381368,7,196
node-4-1194103941,9,193
node-7-3637171069,7,234
node-8-3058863121,7,225
node-2-1487154666,9,234
node-1-1533898462,10,196
node-6-815023282,8,197
node-9-663381368,8,198
node-4-1194103941,10,194
node-7-3637171069,8,234
node-8-3058863121,8,224
node-2-1487154666,10,235
node-1-1533898462,11,195
node-6-815023282,9,195
node-9-663381368,9,199
node-4-1194103941,11,198
node-7-3637171069,9,233
node-8-3058863121,9,223
node-2-1487154666,11,234
node-1-1533898462,12,195
node-6-815023282,10,195
node-9-663381368,10,197
node-4-1194103941,12,196
node-7-3637171069,10,234
node-8-3058863121,10,224
node-2-1487154666,12,235
node-1-1533898462,13,196
node-6-815023282,11,195
node-4-1194103941,13,195
node-9-663381368,11,199
node-7-3637171069,11,232
node-8-3058863121,11,222
node-2-1487154666,13,234
node-1-1533898462,14,195
node-6-815023282,12,195
node-4-1194103941,14,195
node-9-663381368,12,197
node-7-3637171069,12,233
node-8-3058863121,12,223
node-2-1487154666,14,234
node-1-1533898462,15,197
node-6-815023282,13,195
node-4-1194103941,15,195
node-9-663381368,13,198
node-7-3637171069,13,231
node-8-3058863121,13,224
node-2-1487154666,15,234
node-1-1533898462,16,195
node-6-815023282,14,196
node-4-1194103941,16,196
node-9-663381368,14,197
node-7-3637171069,14,232
node-8-3058863121,14,224
node-2-1487154666,16,234
node-1-1533898462,17,195
node-6-815023282,15,195
node-4-1194103941,17,196
node-9-663381368,15,197
node-7-3637171069,15,232
node-8-3058863121,15,223
node-2-1487154666,17,235
node-1-1533898462,18,195
node-6-815023282,16,195
node-4-1194103941,18,195
node-9-663381368,16,198
node-7-3637171069,16,233
node-8-3058863121,16,222
node-2-1487154666,18,235
node-1-1533898462,19,196
node-6-815023282,17,195
node-4-1194103941,19,195
node-9-663381368,17,198
node-7-3637171069,17,232
node-8-3058863121,17,225
node-2-1487154666,19,235
node-1-1533898462,20,197
node-6-815023282,18,197
node-9-663381368,18,197
node-4-1194103941,20,198
node-7-3637171069,18,232
node-8-3058863121,18,223
node-2-1487154666,20,235
node-1-1533898462,21,195
node-6-815023282,19,195
node-4-1194103941,21,196
node-9-663381368,19,198
node-7-3637171069,19,234
node-8-3058863121,19,223
node-2-1487154666,21,235
node-1-1533898462,22,195
node-6-815023282,20,196
node-9-663381368,20,197
node-4-1194103941,22,196
node-7-3637171069,20,234
node-8-3058863121,20,222
node-2-1487154666,22,218
node-1-1533898462,23,197
node-6-815023282,21,195
node-9-663381368,21,195
node-4-1194103941,23,195
node-7-3637171069,21,233
node-8-3058863121,21,224
node-2-1487154666,23,235
node-1-1533898462,24,195
node-6-815023282,22,197
node-9-663381368,22,197
node-4-1194103941,24,196
node-7-3637171069,22,232
node-8-3058863121,22,223
node-2-1487154666,24,234
node-1-1533898462,25,195
node-6-815023282,23,195
node-4-1194103941,25,195
node-9-663381368,23,209
node-7-3637171069,23,233
node-8-3058863121,23,223
node-2-1487154666,25,227
node-1-1533898462,26,195
node-6-815023282,24,197
node-4-1194103941,26,194
node-9-663381368,24,198
node-7-3637171069,24,232
node-8-3058863121,24,223
node-2-1487154666,26,235
node-1-1533898462,27,196
node-6-815023282,25,197
node-4-1194103941,27,195
node-9-663381368,25,197
node-7-3637171069,25,232
node-8-3058863121,25,221
node-2-1487154666,27,235
node-1-1533898462,28,195
node-6-815023282,26,195
node-9-663381368,26,195
node-4-1194103941,28,196
node-7-3637171069,26,233
node-8-3058863121,26,222
node-2-1487154666,28,234
node-1-1533898462,29,194
node-6-815023282,27,196
node-4-1194103941,29,194
node-9-663381368,27,198
node-7-3637171069,27,233
node-8-3058863121,27,222
node-2-1487154666,29,236
node-1-1533898462,30,196
node-6-815023282,28,195
node-4-1194103941,30,195
node-9-663381368,28,197
node-7-3637171069,28,233
node-8-3058863121,28,222
node-2-1487154666,30,214
node-1-1533898462,31,197
node-6-815023282,29,194
node-4-1194103941,31,194
node-9-663381368,29,197
node-7-3637171069,29,233
node-8-3058863121,29,222
node-2-1487154666,31,234
node-1-1533898462,32,195
node-6-815023282,30,195
node-9-663381368,30,194
node-4-1194103941,32,195
node-8-3058863121,30,224
node-7-3637171069,30,234
node-2-1487154666,32,234
node-1-1533898462,33,195
node-6-815023282,31,195
node-9-663381368,31,197
node-4-1194103941,33,194
node-7-3637171069,31,233
node-8-3058863121,31,223
node-2-1487154666,33,234
node-1-1533898462,34,197
node-6-815023282,32,195
node-9-663381368,32,196
node-4-1194103941,34,196
node-7-3637171069,32,233
node-8-3058863121,32,223
node-2-1487154666,34,234
node-1-1533898462,35,195
node-6-815023282,33,195
node-9-663381368,33,194
node-4-1194103941,35,195
node-8-3058863121,33,224
node-7-3637171069,33,234
node-2-1487154666,35,235
node-1-1533898462,36,194
node-6-815023282,34,194
node-9-663381368,34,194
node-4-1194103941,36,194
node-8-3058863121,34,222
node-7-3637171069,34,233
node-2-1487154666,36,234
node-1-1533898462,37,196
node-6-815023282,35,195
node-9-663381368,35,197
node-4-1194103941,37,196
node-7-3637171069,35,234
node-8-3058863121,35,226
node-2-1487154666,37,234
node-1-1533898462,38,194
node-6-815023282,36,196
node-9-663381368,36,197
node-4-1194103941,38,196
node-7-3637171069,36,212
node-8-3058863121,36,223
node-2-1487154666,38,235
node-1-1533898462,39,194
node-6-815023282,37,196
node-9-663381368,37,195
node-4-1194103941,39,194
node-7-3637171069,37,211
node-8-3058863121,37,223
node-2-1487154666,39,235
node-1-1533898462,40,194
node-6-815023282,38,195
node-9-663381368,38,194
node-4-1194103941,40,194
node-7-3637171069,38,211
node-8-3058863121,38,222
node-2-1487154666,40,234
node-1-1533898462,41,195
node-6-815023282,39,195
node-9-663381368,39,196
node-4-1194103941,41,195
node-7-3637171069,39,210
node-8-3058863121,39,222
node-2-1487154666,41,235
node-1-1533898462,42,195
node-6-815023282,40,196
node-9-663381368,40,194
node-4-1194103941,42,194
node-7-3637171069,40,211
node-8-3058863121,40,222
node-2-1487154666,42,235
node-1-1533898462,43,195
node-6-815023282,41,194
node-9-663381368,41,194
node-4-1194103941,43,193
node-8-3058863121,41,221
node-7-3637171069,41,232
node-2-1487154666,43,213
node-1-1533898462,44,196
node-6-815023282,42,194
node-9-663381368,42,195
