id,seq,delay
4,0,304
2,0,337
3,0,508
4,1,167
9,0,285
2,1,281
7,0,340
3,1,387
8,0,480
4,2,166
9,1,163
2,2,228
7,1,270
14,0,312
8,1,318
12,0,379
13,0,416
3,2,413
4,3,160
14,1,160
9,2,161
2,3,171
7,2,174
12,1,173
13,1,233
8,2,234
3,3,234
4,4,161
14,2,160
9,3,160
2,4,172
7,3,173
12,2,171
13,2,232
8,3,234
3,4,235
14,3,161
4,5,165
9,4,162
2,5,174
7,4,174
12,3,173
13,3,232
8,4,233
3,5,233
4,6,159
14,4,160
9,5,160
2,6,170
7,5,173
12,4,171
13,4,232
3,6,232
8,5,232
4,7,162
14,5,161
9,6,160
2,7,171
7,6,173
12,5,171
13,5,232
3,7,232
8,6,232
14,6,161
4,8,164
9,7,160
2,8,171
7,7,173
12,6,170
13,6,231
3,8,231
8,7,234
4,9,160
14,7,162
9,8,161
2,9,174
7,8,173
12,7,169
13,7,232
8,8,246
3,9,247
14,8,161
4,10,162
9,9,160
2,10,172
7,9,173
12,8,170
13,8,233
8,9,233
3,10,234
4,11,164
14,9,166
9,10,162
2,11,171
7,10,175
12,9,171
13,9,232
3,11,233
8,10,232
14,10,160
4,12,161
9,11,160
2,12,171
7,11,174
12,10,171
13,10,232
3,12,232
8,11,232
14,11,159
4,13,159
9,12,161
2,13,170
7,12,173
12,11,172
13,11,231
3,13,231
8,12,232
14,12,159
4,14,160
9,13,163
2,14,171
7,13,173
12,12,170
13,12,231
3,14,230
8,13,231
14,13,159
4,15,159
9,14,160
2,15,170
7,14,173
12,13,170
13,13,231
3,15,230
8,14,232
14,14,160
4,16,160
9,15,165
2,16,185
7,15,177
12,14,170
13,14,232
3,16,232
8,15,232
14,15,160
4,17,159
9,16,161
2,17,170
7,16,173
12,15,172
13,15,233
3,17,231
8,16,232
14,16,160
4,18,160
9,17,160
2,18,172
7,17,173
12,16,170
3,18,231
13,16,236
8,17,234
14,17,161
4,19,164
9,18,162
2,19,170
7,18,174
12,17,170
13,17,231
8,18,231
3,19,232
14,18,161
4,20,161
9,19,159
2,20,175
7,19,176
12,18,170
13,18,232
8,19,234
3,20,234
14,19,161
4,21,161
9,20,160
2,21,172
7,20,174
12,19,172
13,19,231
3,21,232
8,20,232
14,20,159
4,22,160
9,21,160
2,22,172
7,21,174
12,20,173
13,20,230
8,21,232
3,22,233
4,23,160
14,21,161
9,22,159
2,23,173
7,22,174
12,21,170
13,21,232
8,22,232
3,23,234
4,24,160
14,22,161
9,23,160
2,24,171
7,23,173
12,22,171
13,22,231
8,23,231
3,24,235
14,23,160
4,25,161
9,24,160
2,25,170
7,24,173
12,23,170
13,23,233
3,25,231
8,24,232
4,26,160
14,24,160
9,25,160
2,26,172
7,25,172
12,24,170
13,24,231
8,25,231
3,26,233
4,27,161
14,25,162
9,26,163
2,27,169
7,26,173
12,25,171
13,25,230
3,27,234
8,26,236
4,28,159
14,26,161
9,27,159
2,28,169
7,27,174
12,26,173
13,26,231
8,27,231
3,28,234
14,27,159
4,29,160
9,28,161
2,29,170
7,28,175
12,27,169
8,28,232
3,29,235
13,27,246
14,28,159
4,30,159
9,29,161
2,30,173
7,29,172
12,28,169
13,28,230
3,30,232
8,29,233
14,29,161
4,31,161
9,30,160
2,31,173
7,30,173
12,29,169
13,29,231
3,31,231
8,30,233
14,30,160
4,32,160
9,31,162
2,32,170
7,31,173
12,30,170
13,30,231
3,32,234
8,31,235
14,31,159
4,33,160
9,32,160
2,33,170
7,32,173
12,31,175
13,31,231
3,33,231
8,32,232
4,34,160
14,32,162
9,33,164
2,34,169
7,33,173
12,32,171
13,32,231
3,34,233
8,33,233
4,35,159
14,33,162
9,34,160
2,35,169
7,34,191
12,33,169
13,33,231
3,35,230
8,34,233
4,36,160
14,34,159
9,35,160
2,36,169
7,35,172
12,34,168
13,34,231
3,36,231
8,35,235
4,37,162
14,35,164
9,36,162
2,37,169
7,36,173
12,35,169
13,35,232
3,37,231
8,36,233
4,38,160
14,36,161
9,37,160
2,38,170
7,37,173
12,36,168
13,36,231
3,38,233
8,37,233
14,37,160
4,39,159
9,38,160
2,39,169
7,38,173
12,37,169
13,37,231
3,39,231
8,38,233
14,38,159
4,40,159
9,39,161
2,40,169
7,39,172
12,38,169
13,38,231
8,39,232
3,40,234
14,39,159
4,41,159
9,40,159
2,41,171
7,40,173
12,39,176
13,39,230
8,40,231
3,41,234
14,40,159
4,42,159
9,41,160
2,42,170
7,41,172
12,40,170
13,40,230
3,42,231
8,41,232
14,41,159
4,43,159
9,42,160
2,43,170
7,42,174
12,41,170
13,41,231
3,43,232
8,42,233
14,42,159
4,44,159
9,43,161
2,44,169
7,43,173
12,42,168
13,42,232
3,44,231
8,43,232
14,43,160
4,45,159
9,44,160
2,45,170
7,44,173
12,43,169
13,43,231
3,45,231
8,44,232
14,44,159
4,46,159
9,45,159
2,46,170
7,45,173
12,44,170
13,44,231
3,46,235
8,45,235
14,45,159
4,47,160
9,46,161
2,47,170
7,46,173
12,45,169
13,45,231
3,47,232
8,46,232
14,46,158
4,48,159
9,47,160
2,48,171
7,47,173
12,46,169
13,46,231
8,47,233
3,48,246
14,47,160
4,49,159
9,48,160
2,49,171
7,48,174
12,47,169
13,47,232
3,49,231
8,48,232
14,48,159
4,50,159
9,49,159
2,50,172
7,49,173
12,48,170
13,48,231
3,50,230
8,49,232
14,49,159
4,51,158
9,50,160
2,51,169
7,50,173
12,49,170
13,49,232
3,51,230
8,50,232
14,50,160
4,52,159
9,51,160
2,52,169
7,51,173
12,50,169
13,50,231
3,52,232
8,51,232
14,51,158
4,53,159
9,52,161
2,53,171
7,52,174
12,51,169
13,51,233
3,53,231
8,52,231
14,52,159
4,54,159
9,53,160
2,54,172
7,53,175
12,52,169
13,52,232
3,54,231
8,53,231
14,53,159
4,55,159
9,54,160
2,55,170
7,54,173
12,53,170
13,53,233
8,54,231
3,55,235
14,54,159
4,56,159
9,55,160
2,56,171
7,55,173
12,54,169
13,54,231
3,56,230
8,55,231
14,55,160
4,57,159
9,56,160
2,57,171
7,56,174
12,55,171
13,55,230
3,57,230
8,56,230
14,56,159
4,58,159
9,57,161
2,58,171
7,57,173
12,56,168
13,56,231
3,58,230
8,57,231
14,57,159
4,59,161
9,58,159
2,59,170
7,58,173
12,57,170
13,57,230
3,59,232
8,58,232
14,58,159
4,60,159
9,59,164
2,60,171
7,59,172
12,58,169
13,58,231
3,60,231
8,59,230
14,59,159
4,61,159
9,60,161
2,61,171
7,60,173
12,59,170
13,59,230
3,61,230
8,60,230
14,60,159
4,62,159
9,61,176
2,62,172
7,61,191
12,60,170
13,60,230
3,62,231
8,61,231
14,61,160
4,63,161
9,62,161
2,63,171
7,62,173
12,61,171
13,61,232
3,63,231
8,62,231
14,62,159
4,64,159
9,63,160
2,64,172
7,63,173
12,62,170
13,62,230
3,64,230
8,63,230
14,63,159
4,65,159
9,64,160
2,65,171
7,64,176
12,63,171
13,63,232
3,65,230
8,64,230
14,64,159
4,66,159
9,65,160
2,66,170
7,65,173
12,64,169
13,64,230
3,66,232
8,65,231
14,65,159
4,67,158
9,66,167
2,67,171
7,66,173
13,65,233
3,67,231
8,66,231
12,65,406
14,66,159
4,68,159
9,67,159
2,68,170
7,67,173
12,66,172
13,66,231
3,68,231
8,67,242
14,67,160
4,69,160
9,68,160
2,69,170
7,68,174
12,67,188
13,67,231
3,69,230
8,68,231
4,70,160
14,68,162
9,69,162
2,70,169
7,69,173
12,68,171
13,68,232
3,70,231
8,69,232
4,71,159
14,69,161
9,70,159
2,71,172
7,70,173
12,69,171
13,69,232
8,70,234
3,71,235
4,72,160
14,70,161
9,71,161
2,72,170
7,71,173
12,70,170
13,70,231
8,71,234
3,72,233
14,71,160
4,73,161
9,72,160
2,73,171
7,72,173
12,71,170
13,71,231
8,72,230
3,73,231
14,72,160
4,74,162
9,73,161
2,74,170
7,73,173
12,72,169
13,72,231
3,74,232
8,73,234
14,73,160
4,75,161
9,74,160
2,75,172
7,74,173
12,73,169
13,73,232
3,75,232
8,74,234
14,74,161
4,76,162
9,75,160
2,76,169
7,75,174
12,74,170
13,74,232
8,75,231
3,76,233
14,75,159
4,77,161
9,76,161
2,77,171
7,76,174
12,75,169
13,75,233
8,76,233
3,77,233
4,78,160
14,76,162
9,77,164
2,78,171
7,77,173
12,76,170
13,76,232
8,77,236
3,78,236
4,79,160
14,77,161
9,78,160
2,79,171
7,78,173
12,77,170
13,77,231
8,78,232
3,79,232
4,80,158
14,78,160
9,79,160
2,80,171
7,79,173
12,78,168
13,78,233
8,79,233
3,80,234
4,81,160
14,79,161
9,80,160
2,81,186
7,80,174
12,79,169
13,79,233
8,80,232
3,81,233
4,82,158
14,80,159
9,81,160
2,82,171
7,81,173
12,80,189
8,81,233
13,80,234
3,82,233
4,83,161
14,81,162
9,82,161
2,83,170
7,82,173
12,81,169
13,81,234
8,82,237
3,83,236
4,84,159
14,82,163
9,83,160
2,84,169
7,83,173
12,82,171
8,83,232
13,82,232
3,84,231
4,85,159
14,83,160
9,84,160
2,85,169
7,84,173
12,83,169
8,84,234
13,83,234
3,85,233
14,84,159
4,86,175
9,85,162
2,86,170
7,85,173
12,84,169
8,85,233
13,84,234
3,86,232
4,87,159
14,85,177
9,86,161
2,87,181
7,86,173
12,85,169
13,85,235
8,86,237
3,87,234
14,86,160
4,88,162
9,87,161
2,88,169
7,87,173
12,86,170
8,87,231
13,86,232
3,88,231
4,89,159
14,87,161
9,88,160
2,89,169
7,88,174
12,87,168
8,88,234
13,87,236
3,89,234
14,88,160
4,90,161
9,89,161
2,90,169
7,89,173
12,88,170
8,89,232
13,88,233
3,90,232
14,89,159
4,91,160
9,90,161
2,91,170
7,90,173
12,89,170
8,90,232
3,91,233
13,89,238
14,90,159
4,92,160
9,91,162
2,92,170
7,91,174
12,90,170
8,91,231
13,90,231
3,92,232
14,91,160
4,93,160
9,92,162
2,93,169
7,92,175
12,91,169
8,92,232
3,93,231
13,91,232
4,94,160
14,92,163
9,93,161
2,94,169
7,93,173
12,92,169
8,93,231
3,94,231
13,92,232
14,93,160
4,95,161
9,94,160
2,95,169
7,94,174
12,93,169
8,94,232
3,95,231
13,93,232
14,94,159
4,96,160
9,95,160
2,96,169
7,95,176
12,94,171
8,95,231
3,96,238
13,94,239
4,97,160
14,95,161
9,96,160
2,97,171
7,96,175
12,95,170
8,96,232
3,97,233
13,95,233
14,96,159
4,98,161
9,97,159
2,98,170
7,97,174
12,96,169
8,97,233
3,98,232
13,96,233
14,97,159
4,99,162
9,98,161
2,99,169
7,98,175
12,97,169
8,98,232
3,99,232
13,97,232
14,98,160
4,100,161
9,99,161
2,100,183
7,99,174
12,98,169
8,99,233
3,100,232
13,98,232
14,99,160
4,101,163
9,100,161
2,101,171
7,100,176
12,99,169
8,100,233
3,101,233
13,99,233
4,102,161
14,100,161
9,101,161
2,102,170
7,101,176
12,100,169
8,101,231
3,102,232
13,100,231
4,103,162
14,101,162
9,102,160
2,103,170
7,102,176
12,101,170
3,103,232
13,101,231
8,102,238
4,104,162
14,102,162
9,103,160
2,104,170
7,103,175
12,102,171
3,104,238
8,103,238
13,102,236
4,105,161
14,103,163
9,104,162
2,105,170
12,103,170
7,104,179
8,104,231
3,105,234
13,103,232
4,106,161
14,104,161
9,105,160
2,106,171
12,104,171
7,105,179
3,106,233
8,105,232
13,104,230
14,105,160
4,107,164
9,106,164
2,107,171
7,106,176
12,105,171
3,107,231
8,106,232
13,105,232
14,106,162
4,108,165
9,107,161
2,108,171
7,107,176
12,106,171
3,108,233
8,107,232
13,106,230
4,109,161
14,107,167
9,108,161
2,109,172
7,108,176
12,107,178
3,109,232
8,108,233
13,107,232
4,110,160
14,108,161
9,109,161
2,110,169
12,108,171
7,109,187
3,110,233
8,109,231
13,108,233
4,111,161
14,109,161
9,110,160
2,111,170
7,110,173
12,109,171
3,111,232
8,110,230
13,109,231
14,110,159
4,112,160
9,111,160
2,112,169
12,110,170
7,111,176
3,112,231
8,111,233
13,110,234
14,111,160
4,113,160
9,112,160
2,113,170
12,111,170
7,112,178
3,113,232
8,112,230
13,111,232
4,114,160
14,112,161
9,113,162
2,114,170
7,113,175
12,112,173
3,114,232
8,113,231
13,112,232
14,113,160
4,115,162
9,114,161
2,115,169
7,114,173
12,113,172
3,115,234
8,114,232
13,113,231
4,116,159
14,114,160
9,115,160
2,116,169
12,114,171
7,115,174
3,116,231
8,115,230
13,114,237
4,117,161
14,115,160
9,116,160
2,117,170
12,115,171
7,116,179
3,117,233
8,116,232
13,115,231
4,118,159
14,116,159
9,117,170
2,118,171
7,117,174
12,116,173
3,118,232
8,117,231
13,116,232
4,119,160
14,117,159
9,118,160
2,119,169
12,117,169
7,118,174
3,119,232
8,118,231
13,117,247
4,120,159
14,118,159
9,119,160
2,120,170
7,119,173
12,118,172
3,120,231
8,119,231
13,118,231
