id,seq,delay
node-4-1499783212,0,399
node-2-2884957763,0,415
node-1-2485309608,0,762
node-1-2485309608,1,203
node-4-1499783212,1,195
node-6-1306070112,0,313
node-9-4208806275,0,317
node-2-2884957763,1,320
node-8-4123321681,0,471
node-7-3915584505,0,477
node-1-2485309608,2,198
node-6-1306070112,1,200
node-4-1499783212,2,196
node-9-4208806275,1,194
node-11-3683478292,0,308
node-14-25474774,0,340
node-8-4123321681,1,310
node-2-2884957763,2,346
node-7-3915584505,1,369
node-13-614445071,0,409
node-12-4147313829,0,417
node-1-2485309608,3,199
node-6-1306070112,2,202
node-11-3683478292,1,197
node-4-1499783212,3,194
node-14-25474774,1,195
node-9-4208806275,2,195
node-2-2884957763,3,234
node-13-614445071,1,225
node-8-4123321681,2,225
node-7-3915584505,2,236
node-12-4147313829,1,235
node-1-2485309608,4,199
node-6-1306070112,3,202
node-11-3683478292,2,198
node-4-1499783212,4,195
node-14-25474774,2,195
node-9-4208806275,3,195
node-2-2884957763,4,234
node-13-614445071,2,224
node-8-4123321681,3,225
node-7-3915584505,3,236
node-12-4147313829,2,233
node-1-2485309608,5,197
node-6-1306070112,4,203
node-11-3683478292,3,199
node-14-25474774,3,196
node-4-1499783212,5,200
node-9-4208806275,4,197
node-2-2884957763,5,234
node-13-614445071,3,223
node-8-4123321681,4,223
node-7-3915584505,4,236
node-12-4147313829,3,212
node-6-1306070112,5,198
node-1-2485309608,6,203
node-11-3683478292,4,197
node-4-1499783212,6,194
node-14-25474774,4,195
node-9-4208806275,5,195
node-2-2884957763,6,234
node-13-614445071,4,223
node-8-4123321681,5,222
node-7-3915584505,5,235
node-12-4147313829,4,233
node-1-2485309608,7,198
node-6-1306070112,6,201
node-11-3683478292,5,197
node-4-1499783212,7,196
node-14-25474774,5,196
node-9-4208806275,6,198
node-2-2884957763,7,210
node-13-614445071,5,223
node-8-4123321681,6,223
node-7-3915584505,6,235
node-12-4147313829,5,232
node-1-2485309608,8,197
node-6-1306070112,7,199
node-11-3683478292,6,199
node-14-25474774,6,196
node-4-1499783212,8,199
node-9-4208806275,7,196
node-2-2884957763,8,233
node-13-614445071,6,223
node-8-4123321681,7,226
node-7-3915584505,7,236
node-12-4147313829,6,231
node-1-2485309608,9,199
node-6-1306070112,8,200
node-11-3683478292,7,195
node-4-1499783212,9,195
node-14-25474774,7,196
node-9-4208806275,8,196
node-2-2884957763,9,235
node-13-614445071,7,224
node-8-4123321681,8,223
node-7-3915584505,8,260
node-12-4147313829,7,247
node-1-2485309608,10,196
node-6-1306070112,9,200
node-11-3683478292,8,196
node-14-25474774,8,196
node-4-1499783212,10,198
node-9-4208806275,9,195
node-2-2884957763,10,233
node-13-614445071,8,224
node-8-4123321681,9,223
node-7-3915584505,9,238
node-12-4147313829,8,232
node-1-2485309608,11,198
node-6-1306070112,10,203
node-11-3683478292,9,197
node-4-1499783212,11,198
node-14-25474774,9,202
node-9-4208806275,10,197
node-2-2884957763,11,210
node-13-614445071,9,224
node-8-4123321681,10,223
node-7-3915584505,10,235
node-12-4147313829,9,232
node-1-2485309608,12,198
node-6-1306070112,11,202
node-11-3683478292,10,199
node-14-25474774,10,195
node-4-1499783212,12,197
node-9-4208806275,11,196
node-2-2884957763,12,233
node-13-614445071,10,223
node-8-4123321681,11,223
node-7-3915584505,11,236
node-12-4147313829,10,233
node-6-1306070112,12,198
node-1-2485309608,13,200
node-11-3683478292,11,198
node-14-25474774,11,194
node-4-1499783212,13,195
node-9-4208806275,12,196
node-2-2884957763,13,233
node-13-614445071,11,223
node-8-4123321681,12,223
node-7-3915584505,12,235
node-12-4147313829,11,232
node-6-1306070112,13,197
node-1-2485309608,14,197
node-11-3683478292,12,197
node-14-25474774,12,197
node-4-1499783212,14,199
node-9-4208806275,13,197
node-2-2884957763,14,233
node-13-614445071,12,223
node-8-4123321681,13,223
node-7-3915584505,13,235
node-12-4147313829,12,232
node-1-2485309608,15,197
node-6-1306070112,14,202
node-11-3683478292,13,197
node-14-25474774,13,194
node-4-1499783212,15,194
node-9-4208806275,14,195
node-2-2884957763,15,232
node-13-614445071,13,223
node-8-4123321681,14,223
node-7-3915584505,14,235
node-12-4147313829,13,231
node-1-2485309608,16,200
node-6-1306070112,15,200
node-11-3683478292,14,197
node-14-25474774,14,193
node-4-1499783212,16,195
node-9-4208806275,15,194
node-13-614445071,14,223
node-8-4123321681,15,223
node-2-2884957763,16,247
node-12-4147313829,14,209
node-7-3915584505,15,260
node-1-2485309608,17,198
node-6-1306070112,16,200
node-11-3683478292,15,198
node-14-25474774,15,193
node-4-1499783212,17,195
node-9-4208806275,16,196
node-2-2884957763,17,231
node-13-614445071,15,224
node-8-4123321681,16,223
node-7-3915584505,16,238
node-12-4147313829,15,232
node-6-1306070112,17,199
node-1-2485309608,18,201
node-11-3683478292,16,198
node-14-25474774,16,193
node-4-1499783212,18,194
node-9-4208806275,17,195
node-2-2884957763,18,234
node-13-614445071,16,226
node-8-4123321681,17,225
node-7-3915584505,17,236
node-12-4147313829,16,231
node-1-2485309608,19,196
node-6-1306070112,18,199
node-11-3683478292,17,199
node-14-25474774,17,194
node-4-1499783212,19,194
node-9-4208806275,18,195
node-2-2884957763,19,233
node-13-614445071,17,223
node-8-4123321681,18,222
node-7-3915584505,18,235
node-12-4147313829,17,231
node-6-1306070112,19,205
